UNIT,UNIT_NUM,STUB_NAME,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1985,9,55-64 years,4.2,7.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1985,9,65 years and over,5,6.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1985,9,65-74 years,5.1,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1985,9,75-84 years,5.2,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1985,9,85 years and over,6,4.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1986,10,10-14 years,1,2.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1986,10,15-24 years,2,21.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1986,10,15-19 years,2.1,16.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1986,10,20-24 years,2.2,26,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1986,10,25-44 years,3,24.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1986,10,25-34 years,3.1,25.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1986,10,35-44 years,3.2,23,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1986,10,45-64 years,4,25.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1986,10,45-54 years,4.1,24.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1986,10,55-64 years,4.2,27,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1986,10,65 years and over,5,43.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1986,10,65-74 years,5.1,36.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1986,10,75-84 years,5.2,54.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1986,10,85 years and over,6,62.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1986,10,10-14 years,1,0.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1986,10,15-24 years,2,4.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1986,10,15-19 years,2.1,3.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1986,10,20-24 years,2.2,4.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1986,10,25-44 years,3,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1986,10,25-34 years,3.1,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1986,10,35-44 years,3.2,7.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1986,10,45-64 years,4,8.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1986,10,45-54 years,4.1,8.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1986,10,55-64 years,4.2,8.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1986,10,65 years and over,5,7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1986,10,65-74 years,5.1,7.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1986,10,75-84 years,5.2,7.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1986,10,85 years and over,6,4.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1987,11,10-14 years,1,2.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1987,11,15-24 years,2,20.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1987,11,15-19 years,2.1,16,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1987,11,20-24 years,2.2,25.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1987,11,25-44 years,3,24.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1987,11,25-34 years,3.1,25.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1987,11,35-44 years,3.2,23,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1987,11,45-64 years,4,25.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1987,11,45-54 years,4.1,23.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1987,11,55-64 years,4.2,27,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1987,11,65 years and over,5,44.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1987,11,65-74 years,5.1,35.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1987,11,75-84 years,5.2,57.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1987,11,85 years and over,6,67.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1987,11,10-14 years,1,0.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1987,11,15-24 years,2,4.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1987,11,15-19 years,2.1,4.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1987,11,20-24 years,2.2,4.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1987,11,25-44 years,3,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1987,11,25-34 years,3.1,6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1987,11,35-44 years,3.2,7.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1987,11,45-64 years,4,8.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1987,11,45-54 years,4.1,8.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1987,11,55-64 years,4.2,7.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1987,11,65 years and over,5,6.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1987,11,65-74 years,5.1,7.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1987,11,75-84 years,5.2,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1987,11,85 years and over,6,4.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1988,12,10-14 years,1,2.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1988,12,15-24 years,2,21.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1988,12,15-19 years,2.1,17.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1988,12,20-24 years,2.2,24.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1988,12,25-44 years,3,24.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1988,12,25-34 years,3.1,25.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1988,12,35-44 years,3.2,22.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1988,12,45-64 years,4,23.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1988,12,45-54 years,4.1,21.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1988,12,55-64 years,4.2,25.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1988,12,65 years and over,5,42.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1988,12,65-74 years,5.1,34,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1988,12,75-84 years,5.2,57.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1988,12,85 years and over,6,61.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1988,12,10-14 years,1,0.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1988,12,15-24 years,2,4.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1988,12,15-19 years,2.1,4.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1988,12,20-24 years,2.2,4.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1988,12,25-44 years,3,6.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1988,12,25-34 years,3.1,5.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1988,12,35-44 years,3.2,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1988,12,45-64 years,4,7.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1988,12,45-54 years,4.1,8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1988,12,55-64 years,4.2,7.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1988,12,65 years and over,5,6.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1988,12,65-74 years,5.1,6.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1988,12,75-84 years,5.2,6.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1988,12,85 years and over,6,5.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1989,13,10-14 years,1,2.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1989,13,15-24 years,2,21.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1989,13,15-19 years,2.1,17.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1989,13,20-24 years,2.2,25.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1989,13,25-44 years,3,23.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1989,13,25-34 years,3.1,24.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1989,13,35-44 years,3.2,22.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1989,13,45-64 years,4,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1989,13,45-54 years,4.1,22.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1989,13,55-64 years,4.2,25.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1989,13,65 years and over,5,41.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1989,13,65-74 years,5.1,34.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1989,13,75-84 years,5.2,51.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1989,13,85 years and over,6,68.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1989,13,10-14 years,1,0.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1989,13,15-24 years,2,4.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1989,13,15-19 years,2.1,4.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1989,13,20-24 years,2.2,4.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1989,13,25-44 years,3,6.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1989,13,25-34 years,3.1,5.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1989,13,35-44 years,3.2,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1989,13,45-64 years,4,7.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1989,13,45-54 years,4.1,7.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1989,13,55-64 years,4.2,7.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1989,13,65 years and over,5,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1989,13,65-74 years,5.1,6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1989,13,75-84 years,5.2,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1989,13,85 years and over,6,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1990,14,10-14 years,1,2.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1990,14,15-24 years,2,22,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1990,14,15-19 years,2.1,18.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1990,14,20-24 years,2.2,25.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1990,14,25-44 years,3,24.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1990,14,25-34 years,3.1,24.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1990,14,35-44 years,3.2,23.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1990,14,45-64 years,4,24.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1990,14,45-54 years,4.1,23.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1990,14,55-64 years,4.2,25.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1990,14,65 years and over,5,41.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1990,14,65-74 years,5.1,32.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1990,14,75-84 years,5.2,56.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1990,14,85 years and over,6,65.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1990,14,10-14 years,1,0.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1990,14,15-24 years,2,3.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1990,14,15-19 years,2.1,3.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1990,14,20-24 years,2.2,4.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1990,14,25-44 years,3,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1990,14,25-34 years,3.1,5.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1990,14,35-44 years,3.2,6.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1990,14,45-64 years,4,7.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1990,14,45-54 years,4.1,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1990,14,55-64 years,4.2,7.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1990,14,65 years and over,5,6.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1990,14,65-74 years,5.1,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1990,14,75-84 years,5.2,6.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1990,14,85 years and over,6,5.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1991,15,10-14 years,1,2.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1991,15,15-24 years,2,21.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1991,15,15-19 years,2.1,17.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1991,15,20-24 years,2.2,25.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1991,15,25-44 years,3,23.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1991,15,25-34 years,3.1,24.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1991,15,35-44 years,3.2,23,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1991,15,45-64 years,4,24.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1991,15,45-54 years,4.1,23.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1991,15,55-64 years,4.2,25.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1991,15,65 years and over,5,40.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1991,15,65-74 years,5.1,30.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1991,15,75-84 years,5.2,53,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1991,15,85 years and over,6,69.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1991,15,10-14 years,1,0.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1991,15,15-24 years,2,3.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1991,15,15-19 years,2.1,3.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1991,15,20-24 years,2.2,3.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1991,15,25-44 years,3,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1991,15,25-34 years,3.1,5.3,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1991,15,35-44 years,3.2,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1991,15,45-64 years,4,7.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1991,15,45-54 years,4.1,7.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1991,15,55-64 years,4.2,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1991,15,65 years and over,5,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1991,15,65-74 years,5.1,6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1991,15,75-84 years,5.2,5.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1991,15,85 years and over,6,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1992,16,10-14 years,1,2.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1992,16,15-24 years,2,21.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1992,16,15-19 years,2.1,17.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1992,16,20-24 years,2.2,25.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1992,16,25-44 years,3,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1992,16,25-34 years,3.1,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1992,16,35-44 years,3.2,23.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1992,16,45-64 years,4,23,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1992,16,45-54 years,4.1,22.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1992,16,55-64 years,4.2,24,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1992,16,65 years and over,5,38.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1992,16,65-74 years,5.1,29.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1992,16,75-84 years,5.2,50.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1992,16,85 years and over,6,62.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1992,16,10-14 years,1,0.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1992,16,15-24 years,2,3.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1992,16,15-19 years,2.1,3.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1992,16,20-24 years,2.2,3.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1992,16,25-44 years,3,5.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1992,16,25-34 years,3.1,5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1992,16,35-44 years,3.2,6.6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1992,16,45-64 years,4,6.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1992,16,45-54 years,4.1,7.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1992,16,55-64 years,4.2,6.5,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1992,16,65 years and over,5,6,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1992,16,65-74 years,5.1,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1992,16,75-84 years,5.2,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1992,16,85 years and over,6,6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1993,17,10-14 years,1,2.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1993,17,15-24 years,2,22.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1993,17,15-19 years,2.1,17.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1993,17,20-24 years,2.2,26.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1993,17,25-44 years,3,24.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1993,17,25-34 years,3.1,24.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1993,17,35-44 years,3.2,23.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1993,17,45-64 years,4,22.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1993,17,45-54 years,4.1,22.2,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1993,17,55-64 years,4.2,23.7,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1993,17,65 years and over,5,38.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1993,17,65-74 years,5.1,29.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1993,17,75-84 years,5.2,49,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1993,17,85 years and over,6,67.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1993,17,10-14 years,1,0.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1993,17,15-24 years,2,4.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1993,17,15-19 years,2.1,3.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1993,17,20-24 years,2.2,4.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1993,17,25-44 years,3,5.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-34 years,3.231,1993,17,25-34 years,3.1,5.1,
"Deaths per 100,000 resident population",2,Sex and age,Female: 35-44 years,3.232,1993,17,35-44 years,3.2,6.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-64 years,3.24,1993,17,45-64 years,4,6.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 45-54 years,3.241,1993,17,45-54 years,4.1,7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 55-64 years,3.242,1993,17,55-64 years,4.2,6.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65 years and over,3.25,1993,17,65 years and over,5,5.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 65-74 years,3.251,1993,17,65-74 years,5.1,5.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 75-84 years,3.252,1993,17,75-84 years,5.2,5.8,
"Deaths per 100,000 resident population",2,Sex and age,Female: 85 years and over,3.253,1993,17,85 years and over,6,5.3,
"Deaths per 100,000 resident population",2,Sex and age,Male: 10-14 years,3.11,1994,18,10-14 years,1,2.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-24 years,3.12,1994,18,15-24 years,2,23,
"Deaths per 100,000 resident population",2,Sex and age,Male: 15-19 years,3.121,1994,18,15-19 years,2.1,17.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 20-24 years,3.122,1994,18,20-24 years,2.2,28,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-44 years,3.13,1994,18,25-44 years,3,24.4,
"Deaths per 100,000 resident population",2,Sex and age,Male: 25-34 years,3.131,1994,18,25-34 years,3.1,24.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 35-44 years,3.132,1994,18,35-44 years,3.2,24,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-64 years,3.14,1994,18,45-64 years,4,21.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 45-54 years,3.141,1994,18,45-54 years,4.1,21.9,
"Deaths per 100,000 resident population",2,Sex and age,Male: 55-64 years,3.142,1994,18,55-64 years,4.2,21.8,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65 years and over,3.15,1994,18,65 years and over,5,36.5,
"Deaths per 100,000 resident population",2,Sex and age,Male: 65-74 years,3.151,1994,18,65-74 years,5.1,27.6,
"Deaths per 100,000 resident population",2,Sex and age,Male: 75-84 years,3.152,1994,18,75-84 years,5.2,47.1,
"Deaths per 100,000 resident population",2,Sex and age,Male: 85 years and over,3.153,1994,18,85 years and over,6,66.2,
"Deaths per 100,000 resident population",2,Sex and age,Female: 10-14 years,3.21,1994,18,10-14 years,1,0.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-24 years,3.22,1994,18,15-24 years,2,3.7,
"Deaths per 100,000 resident population",2,Sex and age,Female: 15-19 years,3.221,1994,18,15-19 years,2.1,3.4,
"Deaths per 100,000 resident population",2,Sex and age,Female: 20-24 years,3.222,1994,18,20-24 years,2.2,3.9,
"Deaths per 100,000 resident population",2,Sex and age,Female: 25-44 years,3.23,1994,18,25-44 years,3,5.8,
